coords,x_left,y_left,likelihood,x_right,y_right,likelihood
349,428.100977,518.4564605,0.999999285,365.2853174,519.2586117,0.999999642
350,428.2775917,518.2189403,0.999999404,365.2804532,519.0709226,0.999999762
351,429.1011447,518.2376688,0.999999285,365.3557974,518.8211391,0.999999762
352,430.174221,518.3975444,0.999999642,365.2660251,518.0808361,0.999999762
353,430.8433962,518.4120431,0.999999881,364.8072795,517.6085356,0.999999881
354,432.2728031,518.1173706,0.999999881,363.5142444,516.6497812,0.999999881
355,432.4366882,517.7082903,1,362.7349281,515.2559786,0.999999881
356,431.3611946,517.7105248,0.999999881,362.5489979,515.4502228,0.999999881
357,430.6914301,516.3814844,0.999999881,363.0547104,516.1154148,0.999999762
358,428.9980004,517.3647529,0.999999642,363.2947452,516.8999778,0.999999762
359,428.3500336,518.498158,0.999999404,363.7207724,517.7550679,0.999999762
360,428.6119348,518.5835111,0.999999404,363.6706295,517.5753825,0.999999762
361,429.7740078,518.187175,0.999999523,363.2064525,516.8447578,0.999999762
362,430.9787102,516.8455566,0.999999881,363.1306996,516.4551685,0.999999762
363,431.4914699,516.5273243,0.999999881,363.1590266,515.8152354,0.999999762
364,431.2999673,516.5527653,0.999999881,363.0047159,515.6852362,0.999999762
365,431.5341411,516.8826877,0.999999881,363.0712762,515.9107266,0.999999762
366,431.262156,516.7741826,0.999999881,363.1883759,515.949885,0.999999762
367,431.148675,516.8885239,0.999999881,363.3899099,515.8888841,0.999999762
368,431.1826487,517.2144059,0.999999881,363.231,515.8054995,0.999999762
369,430.9442148,517.7548015,0.999999881,363.293212,516.0832059,0.999999762
370,430.6675148,518.0895543,0.999999881,363.3175091,516.2287765,0.999999762
371,430.5455284,518.319629,0.999999762,363.4857683,516.4575714,0.999999762
372,430.6264763,518.1962059,0.999999762,363.6153827,516.7292678,0.999999762
373,430.5435538,518.1393516,0.999999762,363.7024172,516.7482947,0.999999762
374,430.7191725,517.8440806,0.999999881,363.8523142,516.6531884,0.999999762
375,430.5159812,517.8928956,0.999999881,363.9543934,516.8077542,0.999999762
376,430.8973823,517.3268496,0.999999881,363.7576905,516.4983728,0.999999762
377,431.2372065,516.7299849,0.999999881,363.5991742,516.480523,0.999999762
378,431.1288776,516.6885642,0.999999881,363.4214001,516.1991312,0.999999762
379,431.2415237,516.7363389,0.999999881,362.9998477,516.3528504,0.999999762
380,431.3458939,516.6946825,0.999999881,362.456955,516.4507443,0.999999881
381,431.4174242,517.2270782,0.999999881,362.0972137,515.5323285,0.999999881
382,432.1218317,515.6961398,1,360.9754415,514.9924195,1
383,433.5254414,514.5000968,1,359.8123484,513.6223388,1
384,435.1467631,512.6600046,0.999999881,357.767868,512.9393287,1
385,436.7914123,508.3826624,0.999999642,356.5034082,509.0805957,0.999999881
386,438.1923039,506.5076579,0.999999404,355.7656051,505.5145073,0.999999881
387,439.1542702,501.4320941,0.999999881,354.202194,500.7980376,1
388,439.4525764,496.7491226,0.999999762,352.6628556,496.4450753,0.999999881
389,438.4408305,493.9362487,0.999999166,352.3130412,495.2887383,0.999999523
390,436.8763939,489.0180345,0.999999881,350.698473,493.4405966,0.999999046
391,435.5136319,487.1520936,1,349.2733517,492.4825969,0.999994278
392,436.6533638,482.8024721,1,349.1842413,491.8998619,0.999995708
